layer,multiplier,value
12,10,0.0
12,18,0.8516129032258064
12,3,0.0
12,6,0.0
14,10,0.9612903225806452
14,18,0.8838709677419355
14,3,0.0
14,6,0.3870967741935484
15,10,0.967741935483871
15,18,0.967741935483871
15,3,0.0064516129032258064
15,6,0.0064516129032258064
16,10,0.025806451612903226
16,18,0.9741935483870968
16,3,0.0
16,6,0.0
