,detection_accuracy
deepseek-v3-0324,0.003355704697986577
gpt35,0.028
hermes3-405b,0.010830324909747292
llama-4-scout-17b-16e-instruct,0.003676470588235294
llama3.1-8b-instruct,0.006872852233676976
