,mean_self_preference_confidence
deepseek-v3-0324,0.004939627071359206
gpt35,0.017867034686121226
hermes3-405b,0.000588885637454605
llama-4-scout-17b-16e-instruct,0.007579523647990196
llama3.1-8b-instruct,0.00027970244835991256
