,detection_accuracy
human,1.0
deepseek-v3-0324,0.42857142857142855
llama-4-scout-17b-16e-instruct,0.3157894736842105
llama3.1-8b-instruct,0.7368421052631579
llama3.3-70b-instruct-fp8,0.3333333333333333
