,mean_detection_confidence
deepseek-v3-0324,0.4716502254006899
gpt35,0.4792970303748328
hermes3-405b,0.473152628433541
llama-4-scout-17b-16e-instruct,0.5048259354258324
llama3.3-70b-instruct-fp8,0.6454952725357145
