,detection_accuracy
deepseek-v3-0324,0.01048951048951049
gpt35,0.04363636363636364
hermes3-405b,0.04580152671755725
llama-4-scout-17b-16e-instruct,0.03007518796992481
llama3.1-8b-instruct,0.053231939163498096
