,deepseek-v3-0324,hermes3-405b,llama-4-scout-17b-16e-instruct,llama3.1-8b-instruct,llama3.3-70b-instruct-fp8
deepseek-v3-0324,,0.8333333333333334,0.65625,0.9473684210526316,0.59375
hermes3-405b,0.4642857142857143,,0.2894736842105263,0.631578947368421,0.3333333333333333
llama-4-scout-17b-16e-instruct,0.8333333333333334,0.925,,0.90625,0.6470588235294118
llama3.1-8b-instruct,0.0,0.0,0.0,,0.0
llama3.3-70b-instruct-fp8,0.8571428571428571,0.8541666666666666,0.6666666666666666,0.8863636363636364,
