,deepseek-v3-0324,hermes3-405b,llama-4-scout-17b-16e-instruct,llama3.1-8b-instruct,llama3.3-70b-instruct-fp8
deepseek-v3-0324,,0.8333333333333334,0.625,0.9473684210526316,0.5625
hermes3-405b,0.4285714285714285,,0.3157894736842105,0.7368421052631579,0.3333333333333333
llama-4-scout-17b-16e-instruct,0.9444444444444444,0.95,,0.9375,0.7647058823529411
llama3.1-8b-instruct,0.0,0.0,0.0,,0.0
llama3.3-70b-instruct-fp8,0.8571428571428571,0.9166666666666666,0.6666666666666666,0.9090909090909092,
