,mean_detection_confidence
human,0.36620194218580543
deepseek-v3-0324,0.8467657277232662
hermes3-405b,0.8820267950187628
llama3.1-8b-instruct,0.8808443374070022
llama3.3-70b-instruct-fp8,0.7289268373705113
