,detection_accuracy
human,1.0
deepseek-v3-0324,0.45454545454545453
llama-4-scout-17b-16e-instruct,0.25
llama3.1-8b-instruct,0.7142857142857143
llama3.3-70b-instruct-fp8,0.25
