,deepseek-v3-0324,hermes3-405b,llama-4-scout-17b-16e-instruct,llama3.1-8b-instruct,llama3.3-70b-instruct-fp8
deepseek-v3-0324,,0.8,0.5384615384615384,0.9333333333333332,0.5
hermes3-405b,0.4545454545454545,,0.25,0.7142857142857143,0.25
llama-4-scout-17b-16e-instruct,0.9375,0.9411764705882352,,0.9230769230769232,0.8
llama3.1-8b-instruct,0.0,0.0,0.0,,0.0
llama3.3-70b-instruct-fp8,0.8571428571428571,0.9,0.6428571428571429,0.9411764705882352,
