,deepseek-v3-0324,hermes3-405b,llama-4-scout-17b-16e-instruct,llama3.1-8b-instruct,llama3.3-70b-instruct-fp8
deepseek-v3-0324,,0.8,0.5769230769230769,0.9333333333333332,0.5416666666666666
hermes3-405b,0.4545454545454545,,0.25,0.5714285714285714,0.25
llama-4-scout-17b-16e-instruct,0.875,0.9411764705882352,,0.9230769230769232,0.6333333333333333
llama3.1-8b-instruct,0.0,0.0,0.0,,0.0
llama3.3-70b-instruct-fp8,0.8571428571428571,0.85,0.6428571428571429,0.9117647058823528,
