,self_preference_rate
deepseek-v3-0324,0.46311475409836067
hermes3-405b,0.481981981981982
llama-4-scout-17b-16e-instruct,0.5378151260504201
llama3.3-70b-instruct-fp8,0.8987341772151899
llama3.1-8b-instruct,0.5084745762711864
