,mean_self_preference_confidence
gpt35,0.686292749407512
llama3.3-70b-instruct-fp8,0.9527614846608335
deepseek-v3-0324,0.17359196811947247
llama3.1-8b-instruct,0.5091186521631929
llama-4-scout-17b-16e-instruct,0.4127424310232723
