,mean_detection_confidence
deepseek-v3-0324,0.4747730787403159
gpt35,0.6073471239973555
llama-4-scout-17b-16e-instruct,0.650371026534854
llama3.3-70b-instruct-fp8,0.9142033615744053
llama3.1-8b-instruct,0.6608919193612238
