,detection_accuracy
gpt35,0.7297297297297297
hermes3-405b,0.6648351648351648
llama-4-scout-17b-16e-instruct,0.7903225806451613
llama3.3-70b-instruct-fp8,0.9964028776978417
llama3.1-8b-instruct,0.8360655737704918
