,mean_detection_confidence
human,0.9893887291965756
deepseek-v3-0324,0.8257193876846769
hermes3-405b,0.8606547157221138
llama-4-scout-17b-16e-instruct,0.6638024199220727
llama3.1-8b-instruct,0.9223811096529012
