,mean_detection_confidence
gpt35,0.6471129281027175
llama3.3-70b-instruct-fp8,0.6736035258732735
hermes3-405b,0.540129185087945
deepseek-v3-0324,0.5350739690881475
llama-4-scout-17b-16e-instruct,0.4962131252859624
