,detection_accuracy
deepseek-v3-0324,0.47540983606557374
gpt35,0.5869565217391305
hermes3-405b,0.41379310344827586
llama3.3-70b-instruct-fp8,0.9883720930232558
llama3.1-8b-instruct,0.5664335664335665
